MD,INC,AZ
0,0,0
15,0.03,86.6
30,0.06,86.6
45,0.01550349,96.85197206
60,0.03,256
75,0.024559217,247.226313
90,0.02,234
105,0.031480743,90.0628513
120,0.08,81.6
135,0.140499904,169.993008
150,0.29,186
160,0.399491385,251.1322463
170,0.726356226,272.3702488
180,1.09,280
190,1.583273485,279.4590054
200,2.076621037,279.1750002
210,2.57,279
225,2.834893168,278.4532994
240,3.1,278
255,3.334495721,276.9296073
270,3.57,276
285,3.673745141,277.5428082
300,3.78,279
315,3.849415582,277.9818437
330,3.92,277
345,3.957595588,279.020178
360,4,281
375,3.894409027,280.0269189
390,3.79,279
405,3.805,279
420,3.82,279
435,3.826365547,281.5065218
450,3.84,284
465,3.779856523,284.4920748
480,3.72,285
495,3.754429781,283.9906915
510,3.79,283
525,3.62944968,283.9559773
540,3.47,285
555,3.301869145,282.6247518
570,3.14,280
585,3.18951527,278.9843406
600,3.24,278
615,3.394871299,277.4771984
630,3.55,277
645,3.765,277
660,3.98,277
675,4.035,277
690,4.09,277
705,3.94,277
720,3.79,277
735,3.709859194,276.5107669
750,3.63,276
765,3.635,276
780,3.64,276
795,3.673744232,277.5142694
810,3.71,279
825,3.824854919,279.5150107
840,3.94,280
855,3.974849141,280.5043956
870,4.01,281
885,3.959849719,280.5063032
900,3.91,280
915,3.706488959,277.6346683
930,3.51,275
945,3.504866873,274.5007124
960,3.5,274
975,3.673746959,275.5713471
990,3.85,277
1005,4.023627855,278.5651251
1020,4.2,280
1035,4.038622332,281.4406789
1050,3.88,283
1065,3.769856985,283.4854318
1080,3.66,284
1095,3.624862352,283.5048213
1110,3.59,283
1125,3.574456932,282.0041908
1140,3.56,281
1155,3.652780999,278.9480658
1170,3.75,277
1185,3.774856681,276.4966935
1200,3.8,276
1215,3.654861424,275.5198095
1230,3.51,275
1245,3.582822756,272.9581966
1260,3.66,271
1275,3.685,271
1290,3.71,271
1305,3.709859129,271.5
1320,3.71,272
1335,3.793703995,273.5335554
1350,3.88,275
1365,3.924631781,278.0381429
1380,3.98,281
1395,3.723733077,282.3974362
1410,3.47,284
1425,3.444869148,284.4963758
1440,3.42,285
1455,3.45,285
1470,3.48,285
1485,3.459868578,285.4971133
1500,3.44,286
1515,3.479867835,286.5057402
1530,3.52,287
1545,3.494469041,286.0071449
1560,3.47,285
1575,3.534865785,284.4908177
1590,3.6,284
1605,3.604863095,283.4993074
1620,3.61,283
1635,3.639861782,282.4958846
1650,3.67,282
1665,3.724434384,280.9852542
1680,3.78,280
1710,3.78,280
1725,3.684440674,279.0257473
1740,3.59,278
1755,3.594863473,278.5006945
1770,3.6,279
1785,3.685,279
1800,3.77,279
1815,3.819420017,280.0130709
1830,3.87,281
1845,3.729434302,281.9625157
1860,3.59,283
1875,3.49,283
1890,3.39,283
1905,3.362954952,281.0148478
1920,3.34,279
1935,3.45382023,277.4501214
1950,3.57,276
1965,3.554864986,276.497893
1980,3.54,277
1995,3.822689687,279.1488595
2010,4.11,281
2020,4.613916661,283.4400309
2030,5.124522123,285.3977197
2040,5.64,287
2050,6.371238975,288.229033
2060,7.104788488,289.2055756
2070,7.84,290
2080,8.533839221,286.8934126
2090,9.248676296,284.2571293
2100,9.98,282
2110,10.83461039,279.2968491
2120,11.70934043,276.9887537
2130,12.6,275
2140,13.33333333,275
2150,14.06666667,275
2160,14.8,275
2170,15.01469958,275.6854292
2180,15.23139424,276.3518845
2190,15.45,277
2200,16.05187473,278.0734266
2210,16.65871601,279.0709338
2220,17.27,280
2230,17.90806696,281.0693133
2240,18.5515831,282.0670868
2250,19.2,283
2260,19.94333333,283
2270,20.68666667,283
2280,21.43,283
2290,22.15263758,282.6460309
2300,22.87599296,282.3133453
2310,23.6,282
2320,24.13038555,281.3056908
2330,24.66378283,280.6395744
2340,25.2,280
2350,25.76666667,280
2360,26.33333333,280
2370,26.9,280
2380,27.71,280
2390,28.52,280
2400,29.33,280
2410,29.90333333,280
2420,30.47666667,280
2430,31.05,280
2440,31.83,280
2450,32.61,280
2460,33.39,280
2470,34,280
2480,34.61,280
2490,35.22,280
2505,35.335,280
2520,35.45,280
2535,35.50396853,280.5006728
2550,35.56,281
2565,35.235,281
2580,34.91,281
2595,34.915,281
2610,34.92,281
2625,35.01397476,281.5011834
2640,35.11,282
2655,35.00897482,282.4987541
2670,34.91,283
2685,34.76397806,283.498177
2700,34.62,284
2715,34.84397701,283.4971795
2730,35.07,283
2745,35.02397462,282.5005603
2760,34.98,282
2775,34.945,282
2790,34.91,282
2800,35.17241531,282.3376741
2810,35.43575557,282.6709797
2820,35.7,283
2830,35.18243017,282.6752153
2840,34.66574984,282.3420062
2850,34.15,282
2860,34.45333333,282
2870,34.75666667,282
2880,35.06,282
2890,35.22633214,282.6722451
2900,35.39635003,283.3389245
2910,35.57,284
2925,35.38397005,283.5022731
2940,35.2,283
2955,34.93,283
2970,34.66,283
2980,34.70848614,281.9972139
2990,34.76516634,280.9970814
3000,34.83,280
3015,34.81,280
3030,34.79,280
3045,34.865,280
3060,34.94,280
3075,35.09,280
3090,35.24,280
3100,35.61186281,281.3582552
3110,35.99869111,282.6916313
3120,36.4,284
3135,36.64,284
3150,36.88,284
3160,35.99666667,284
3170,35.11333333,284
3180,34.23,284
3190,34.52666667,284
3200,34.82333333,284
3210,35.12,284
3225,35.15397295,284.5004337
3240,35.19,285
3255,35.14,285
3270,35.09,285
3285,35.04397437,285.4994401
3300,35,286
3315,34.8739766,285.5015652
3330,34.75,285
3340,34.37641444,284.3459582
3350,34.0063749,283.6793893
3360,33.64,283
3375,33.44,283
3390,33.24,283
3400,32.56653921,282.3578277
3410,31.89646575,281.6916375
3420,31.23,281
3450,31.23,281
3465,31.05403589,280.5025362
3480,30.88,280
3495,30.60404407,280.4959428
3510,30.33,281
3525,30.47404641,280.4978496
3540,30.62,280
3550,30.98333333,280
3560,31.34666667,280
3570,31.71,280
3585,31.865,280
3600,32.02,280
3615,31.955,280
3630,31.89,280
3645,31.955,280
3660,32.02,280
3670,32.55910957,279.6568484
3680,33.09912426,279.3236718
3690,33.64,279
3700,33.9124301,279.3380564
3710,34.18577075,279.6713566
3720,34.46,280
3735,34.57,280
3750,34.68,280
3765,34.50398157,280.4977783
3780,34.33,281
3790,34.81333333,281
3800,35.29666667,281
3810,35.78,281
3820,36.34239788,281.3422192
3830,36.90574575,281.6754192
3840,37.47,282
3851.666667,37.79905538,281.661726
3863.333333,38.12906373,281.3284317
3875,38.46,281
3881,38.55574634,279.9978103
3887,38.66,279
3896.666667,38.62955184,279.6658717
3906.333333,38.6028825,280.3325746
3916,38.58,281
3928,38.28541099,281.7355811
3940,37.99547461,282.4807309
3952,37.71030055,283.2355173
3964,37.43,284
3973.333333,36.75574936,283.6771902
3982.666667,36.0823986,283.3440519
3992,35.41,283
4001.666667,35.05576172,282.672537
4011.333333,34.70241904,282.3392592
4021,34.35,282
4030.666667,34.75666667,282
4040.333333,35.16333333,282
4050,35.57,282
4059.333333,35.92907213,282.3391026
4068.666667,36.28908149,282.6723826
4078,36.65,283
4092.5,36.975,283
4107,37.3,283
4121.5,37.39394738,283.5010846
4136,37.49,284
4145.666667,38.00571743,283.6589937
4155.333333,38.52239711,283.325761
4165,39.04,283
4174.666667,39.43,283
4184.333333,39.82,283
4194,40.21,283
4203,40.63,283
4212,41.05,283
4221,41.47,283
4245,41.47,283
